hip,iau_name_en,name_ko,traditional_ko,note,source,confidence
7588,Achernar,아케르나르,,현대 식별: α Eri A. 2022-04-04 IAU-CSN의 V=0.45 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
8796,Mothallah,모탈라흐,군남문(軍南門),현대 식별: α Tri. 2022-04-04 IAU-CSN의 V=3.42 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
8886,Segin,세긴,,현대 식별: ε Cas. 2022-04-04 IAU-CSN의 V=3.35 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
8903,Sheratan,셰라탄,,현대 식별: β Ari A. 2022-04-04 IAU-CSN의 V=2.70 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
9640,Almach,알마크,대장(大將),현대 식별: γ And A. 2022-04-04 IAU-CSN의 V=2.10 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
9884,Hamal,하말,,현대 식별: α Ari. 2022-04-04 IAU-CSN의 V=2.01 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
10064,Alaybasan,,,현대 식별: β Tri. 2026-02 IAU 공지에서 신규 이름·HIP 대조. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 확인한 한국어 통용 표기가 없어 name_ko를 비움.,https://www.iau.org/IAU/IAU/News/Ann2026/New-Star-Names-2026.aspx,low
10826,Mira,미라,,현대 식별: ο Cet Aa. 유명 별 추가; 기준 목록 V=6.47. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
11767,Polaris,폴라리스,북극성,현대 식별: α UMi Aa. 2022-04-04 IAU-CSN의 V=2.13 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 북극성은 시대에 따라 가리키는 별이 달라질 수 있는 역할명. 현재의 Polaris와 전통 북극 성군 전체는 다르다. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json | https://ko.wikipedia.org/wiki/북극성,medium
13847,Acamar,아카마,,현대 식별: θ1 Eri A. 2022-04-04 IAU-CSN의 V=2.88 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
14135,Menkar,멘카르,,현대 식별: α Cet. 2022-04-04 IAU-CSN의 V=2.54 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
14576,Algol,알골,,현대 식별: β Per Aa1. 2022-04-04 IAU-CSN의 V=2.09 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
15863,Mirfak,미르팍,,현대 식별: α Per. 2022-04-04 IAU-CSN의 V=1.79 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
17358,Sarvvis,,,현대 식별: δ Per. 2026-02 IAU 공지에서 신규 이름·HIP 대조. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 확인한 한국어 통용 표기가 없어 name_ko를 비움.,https://www.iau.org/IAU/IAU/News/Ann2026/New-Star-Names-2026.aspx,low
17489,Celaeno,켈라에노,묘수(昴宿)의 구성별,현대 식별: 16 Tau. 유명 별 추가; 기준 목록 V=5.45. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
17499,Electra,엘렉트라,묘수(昴宿)의 구성별,현대 식별: 17 Tau. 유명 별 추가; 기준 목록 V=3.72. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
17531,Taygeta,타이게타,묘수(昴宿)의 구성별,현대 식별: 19 Tau. 유명 별 추가; 기준 목록 V=4.30. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
17573,Maia,마이아,묘수(昴宿)의 구성별,현대 식별: 20 Tau. 유명 별 추가; 기준 목록 V=3.87. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
17579,Asterope,아스테로페,,현대 식별: 21 Tau A. 유명 별 추가; 기준 목록 V=5.76. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
17608,Merope,메로페,묘수(昴宿)의 구성별,현대 식별: 23 Tau. 유명 별 추가; 기준 목록 V=4.14. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
17702,Alcyone,알키오네,묘수(昴宿)의 구성별,현대 식별: η Tau A. 2022-04-04 IAU-CSN의 V=2.85 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
17847,Atlas,아틀라스,묘수(昴宿)의 구성별,현대 식별: 27 Tau Aa1. 유명 별 추가; 기준 목록 V=3.62. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
17851,Pleione,플레이오네,,현대 식별: 28 Tau. 유명 별 추가; 기준 목록 V=5.05. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
18532,Áldu,,,현대 식별: ε Per. 2026-02 IAU 공지에서 신규 이름·HIP 대조. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 확인한 한국어 통용 표기가 없어 name_ko를 비움.,https://www.iau.org/IAU/IAU/News/Ann2026/New-Star-Names-2026.aspx,low
18543,Zaurak,자우락,,현대 식별: γ Eri. 2022-04-04 IAU-CSN의 V=2.97 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
18724,Bibing,,,현대 식별: λ Tau primary. 2026 ASE 승인 설명 확인; 자료의 V 약 3.41. HIP 교차표는 보조 출처이므로 병합 전 SIMBAD 재대조 권장. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 확인한 한국어 통용 표기가 없어 name_ko를 비움.,https://ase.exopla.net/index.php/Bibing | https://raw.githubusercontent.com/cyschneck/iau-star-names/main/iau_proper_stars.csv,low
19780,Rhombus,,,현대 식별: α Ret. 2026-02 IAU 공지에서 신규 이름·HIP 대조. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 확인한 한국어 통용 표기가 없어 name_ko를 비움.,https://www.iau.org/IAU/IAU/News/Ann2026/New-Star-Names-2026.aspx,low
20889,Ain,아인,,현대 식별: ε Tau Aa1. 유명 별 추가; 기준 목록 V=3.53. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
21421,Aldebaran,알데바란,천고(天高),현대 식별: α Tau. 2022-04-04 IAU-CSN의 V=0.87 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
22449,Tabit,타비트,,현대 식별: π3 Ori. 2022-04-04 IAU-CSN의 V=3.19 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
23015,Hassaleh,하살레흐,경(卿),현대 식별: ι Aur. 2022-04-04 IAU-CSN의 V=2.69 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
23416,Almaaz,알마즈,,현대 식별: ε Aur. 2022-04-04 IAU-CSN의 V=3.03 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
23685,Ping,,,현대 식별: ε Lep. 2026 ASE 승인 설명 확인; 자료의 V 약 3.18. HIP 교차표는 보조 출처이므로 병합 전 SIMBAD 재대조 권장. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 확인한 한국어 통용 표기가 없어 name_ko를 비움.,https://ase.exopla.net/index.php/Ping | https://raw.githubusercontent.com/cyschneck/iau-star-names/main/iau_proper_stars.csv,low
23767,Haedus,해두스,,현대 식별: η Aur. 2022-04-04 IAU-CSN의 V=3.18 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
23875,Cursa,쿠르사,,현대 식별: β Eri. 2022-04-04 IAU-CSN의 V=2.78 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
24436,Rigel,리겔,편장군(偏將軍),현대 식별: β Ori A. 2022-04-04 IAU-CSN의 V=0.18 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
24608,Capella,카펠라,천고(天庫),현대 식별: α Aur Aa. 2022-04-04 IAU-CSN의 V=0.08 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
25336,Bellatrix,벨라트릭스,우장군(右將軍),현대 식별: γ Ori. 2022-04-04 IAU-CSN의 V=1.64 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
25428,Elnath,엘나스,사공(司空),현대 식별: β Tau Aa. 2022-04-04 IAU-CSN의 V=1.65 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
25606,Nihal,니할,,현대 식별: β Lep A. 2022-04-04 IAU-CSN의 V=2.83 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
25930,Mintaka,민타카,삼장군(三將軍)의 구성별;삼태성의 구성별,현대 식별: δ Ori Aa. 2022-04-04 IAU-CSN의 V=2.25 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
